# NEST version: 3.9.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
11486	501.200
11174	501.900
11246	502.000
11310	502.100
11558	502.100
11538	502.300
10950	502.500
11358	502.900
11458	503.000
11738	503.100
11570	503.200
11730	503.200
11002	503.400
11478	503.500
11098	503.600
11522	503.600
11654	503.800
11734	503.900
11106	504.100
11622	504.100
10790	504.400
11710	507.600
11030	508.000
11438	509.000
11382	509.200
10838	510.200
11510	511.600
11330	512.300
11742	512.500
11346	514.200
11682	516.100
10986	516.800
11426	517.100
11550	519.300
11538	520.600
11662	522.100
10886	522.300
10902	522.300
11722	522.400
11750	522.500
11578	523.300
11442	523.400
10894	523.700
11366	524.700
11018	530.000
11090	530.000
10962	530.100
10794	530.500
11506	534.000
11290	536.900
11282	537.600
11658	537.700
10938	538.000
11326	538.400
11342	538.600
11614	538.700
11142	538.900
11174	538.900
10822	539.300
10838	539.300
11362	539.500
11458	540.000
11586	540.000
11338	540.300
11610	540.500
11058	540.600
11546	540.700
11262	540.800
10910	540.900
11306	541.700
11034	542.700
10950	543.600
11354	543.800
10918	544.600
11434	544.700
10982	544.900
11254	545.600
11330	546.100
11702	546.100
10906	546.400
11538	546.400
10886	546.700
11450	546.700
11542	547.200
11734	547.200
11082	547.300
11578	547.500
11378	548.700
11386	551.200
11454	555.100
11110	556.200
11506	556.300
11122	556.900
11302	557.000
10966	557.200
11466	557.200
11486	557.600
11594	557.700
11522	557.800
11690	557.800
11426	558.900
11626	559.000
11254	559.200
10814	560.300
10838	561.100
11382	561.800
11726	562.900
11194	570.900
11602	571.300
11730	572.500
10986	572.800
11214	574.300
11366	575.600
11446	575.700
11558	575.700
11202	575.800
11694	576.400
10886	577.100
11450	577.300
11246	577.500
11706	578.500
11598	579.000
10938	579.100
10962	579.300
10822	580.000
11646	580.000
11046	580.100
10954	580.800
11482	580.900
10942	581.500
11254	582.300
11618	583.300
11418	585.500
11058	585.900
11102	586.700
11358	587.600
10790	588.700
10838	589.500
11290	589.600
10958	589.700
11390	589.800
11386	589.900
10906	590.800
11678	591.000
10910	591.200
11690	591.200
11394	591.600
11514	591.800
10826	592.700
11558	593.400
11466	594.000
10930	595.300
11682	597.100
11070	597.200
11426	597.600
11034	597.700
11266	597.900
11454	598.900
11734	600.000
11226	600.300
11670	600.800
11650	601.000
11746	604.200
11246	607.500
10902	608.700
11610	609.500
11474	610.100
11158	610.300
11490	610.400
10862	610.700
11254	610.700
11294	610.900
11414	610.900
11030	611.200
11094	611.400
11042	611.500
11538	613.600
10998	613.800
11618	614.500
11406	616.600
11182	618.100
11426	618.300
11350	618.600
10966	618.700
10866	619.500
10838	619.900
11046	620.200
11058	620.200
11346	620.200
11718	620.200
10938	620.800
11270	621.100
11578	621.200
11394	621.400
11142	621.900
11174	623.200
11602	623.300
11726	623.900
11318	624.100
11386	624.200
11390	624.200
11454	625.500
11010	626.500
11146	626.500
11374	626.700
10882	626.800
11282	626.900
11290	627.300
10806	627.700
11082	628.300
10862	629.700
11366	633.500
10958	634.600
10974	635.800
11538	639.200
10902	640.600
10886	641.100
11166	641.100
11578	643.500
10830	647.100
10826	649.200
10850	649.400
10870	650.200
11738	650.200
11418	650.800
10790	651.400
11202	651.400
11322	651.500
11130	651.600
11546	652.000
11486	652.200
11718	652.200
11586	652.300
11670	652.900
11646	653.300
11734	653.600
11022	653.700
11074	653.700
11126	654.100
11590	654.300
11662	654.300
11110	654.400
10838	654.900
10942	654.900
11174	655.000
11446	655.000
11266	655.400
10958	655.900
11722	656.200
11426	659.400
11358	659.800
11666	660.400
11098	662.400
11558	664.800
11290	665.200
11106	667.500
10954	667.900
11578	667.900
10966	668.300
11254	668.300
11414	668.400
11506	668.400
11326	668.600
10862	669.000
11214	669.700
11398	669.700
11626	669.800
11630	670.100
10858	670.400
11394	670.500
11066	670.700
10918	671.200
11430	671.500
10974	671.700
10794	672.300
11742	672.700
10958	673.400
11390	674.200
10950	679.100
10934	684.400
11226	684.500
11358	684.600
10978	684.900
11514	685.200
11346	685.800
11598	685.800
10994	686.200
10982	687.000
10834	687.200
11234	687.200
11526	687.400
11458	687.500
11142	687.600
11246	687.900
11094	688.000
11550	688.000
11430	688.100
11682	688.200
10958	688.300
11658	688.300
11522	688.400
11418	688.600
11502	688.900
11398	689.000
10814	689.600
11498	689.800
11254	690.100
11574	690.100
11102	690.200
11590	690.300
10974	690.600
11686	690.600
11306	692.400
11202	693.400
11022	693.600
10822	697.000
11174	697.000
11350	699.200
10790	701.000
11506	701.200
11594	701.600
11618	701.600
11342	702.800
11450	703.500
11722	703.500
11034	705.300
11050	705.700
11590	706.700
11486	707.800
11646	707.800
11330	708.100
11666	708.400
11454	709.100
10834	709.500
10954	709.600
11254	709.600
11266	709.800
11442	709.800
11230	710.700
11538	711.200
11550	712.200
11602	712.200
11438	712.500
11610	712.600
11310	712.700
11150	714.800
11210	714.800
11502	716.200
11406	718.000
10914	718.700
11630	718.700
10846	721.400
11382	721.400
10794	721.500
10982	721.900
11302	722.000
11662	722.400
11122	722.900
11066	723.000
11234	723.200
11138	723.300
11622	723.300
10918	723.400
11058	723.600
11690	723.600
11446	723.700
11426	724.300
10862	724.400
11182	724.400
10886	724.600
10790	726.500
11202	727.000
11486	727.100
11046	727.500
11102	727.900
11658	728.100
11298	728.200
11538	729.000
11118	730.500
11142	733.400
11454	739.600
11682	739.800
11010	740.000
11386	740.300
10934	740.500
11634	740.500
11394	741.100
11546	741.600
11526	742.000
11318	742.100
11286	742.200
11474	742.200
11742	742.200
10806	742.500
10838	742.500
11470	742.700
11006	743.400
11554	743.500
11690	743.500
11438	743.700
11542	743.800
11350	744.100
10978	744.200
11294	744.400
11426	744.700
11002	745.500
11254	746.600
10826	749.800
11214	750.300
11514	753.000
11094	757.000
11174	757.300
10814	759.700
10910	761.000
11266	761.000
11306	761.300
11734	761.800
11670	762.100
11726	762.900
11102	763.000
10790	763.100
11538	763.200
11150	763.500
11358	763.600
11034	764.100
10914	764.200
11682	764.200
10890	764.500
10974	764.600
11542	764.600
11522	764.900
11506	765.100
11246	765.300
11398	765.700
11430	766.500
11738	766.600
11106	766.900
11586	767.000
11226	768.000
11614	771.100
11666	771.700
11474	772.300
11326	772.400
11566	772.700
11698	772.900
11178	773.100
11578	773.500
10786	773.600
11142	774.700
10794	774.900
10918	775.400
11526	778.900
10822	779.400
11626	779.700
11146	780.300
11482	780.300
11478	780.400
10886	781.200
11282	781.200
11174	781.300
11610	781.800
11538	783.400
11618	783.500
10958	783.800
11646	784.000
10914	784.300
11330	784.700
10942	785.700
10966	786.800
11158	786.800
11090	787.100
11386	787.700
10814	789.800
11658	792.200
11694	792.700
11378	793.200
11410	793.500
10846	793.700
11726	794.300
11306	794.700
11022	794.800
11302	796.000
11634	796.200
10902	796.300
11206	796.500
10918	796.800
10806	796.900
10954	797.900
11258	799.900
11246	800.600
11406	801.100
11142	802.200
10982	807.200
11218	807.200
11646	809.000
11666	809.100
11738	809.200
11722	809.600
10838	809.800
11694	809.800
11714	810.000
11526	810.100
11442	810.700
10974	810.800
11118	810.900
11202	810.900
10846	811.000
11366	811.000
11590	811.100
11094	811.200
11522	811.300
11610	811.300
11742	811.300
11470	811.500
11382	812.900
11454	813.100
11450	813.500
10818	813.700
11290	819.200
10814	819.900
10790	820.200
11254	824.100
10918	824.600
11174	826.000
11226	826.400
11578	827.700
11482	828.400
11718	829.100
11094	829.600
11046	829.800
11506	830.000
11130	830.200
11258	830.200
10982	830.400
10850	831.300
11314	831.400
11358	831.500
11670	831.900
10822	832.100
11234	833.000
11522	833.400
11462	834.300
10890	834.600
11638	835.600
11486	836.100
11470	841.200
10830	844.400
10938	844.600
